#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B3D28C
#Date Time: 2023-02-25 12:02:52.959
#Sample rate: 800Hz
#Samples: 8000
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 100 ns
#Channel 1: Range: 10 mV/div Offset: -2.615 V Attenuation: 1 X
#Wavegen Channel 1: Running
#Mode: Sweep
#Type: Square
#Frequency: 5 Hz
#Period: 200 ms
#Amplitude: 2 V
#Offset: 2 V
#Symmetry: 50 %
#Phase: 0 °
#Wavegen Channel 2: Disabled
#Mode: Simple
#Type: DC
#Offset: 0 V
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 5 V
#Negative Supply: OFF
#Voltage: -1 V

#49E sensor
#Nominal sensitivity: 1.6 mV/GS
#PCB Coil Drive: 1.6A, 5Hz, full stepping
#
Time (s),Channel 1 (V)
3.71875,2.615939868592779
3.72,2.616276872077272
3.72125,2.616276872077272
3.7225,2.615939868592779
3.72375,2.614254851170316
3.725,2.614591854654809
3.72625,2.614591854654809
3.7275,2.614928858139301
3.72875,2.614254851170316
3.73,2.615939868592779
3.73125,2.615602865108287
3.7325,2.614591854654809
3.73375,2.614254851170316
3.735,2.615602865108287
3.73625,2.615939868592779
3.7375,2.616276872077272
3.73875,2.616950879046258
3.74,2.614254851170316
3.74125,2.614591854654809
3.7425,2.614254851170316
3.74375,2.614928858139301
3.745,2.614928858139301
3.74625,2.615939868592779
3.7475,2.616276872077272
3.74875,2.614591854654809
3.75,2.608188788449447
3.75125,2.606503771026984
3.7525,2.607514781480462
3.75375,2.60717777799597
3.755,2.608188788449447
3.75625,2.606840774511477
3.7575,2.605492760573506
3.75875,2.605829764057999
3.76,2.606166767542491
3.76125,2.606166767542491
3.7625,2.606166767542491
3.76375,2.609536802387418
3.765,2.605829764057999
3.76625,2.605492760573506
3.7675,2.606166767542491
3.76875,2.60717777799597
3.77,2.608862795418433
3.77125,2.609536802387418
3.7725,2.609873805871911
3.77375,2.607514781480462
3.775,2.607851784964955
3.77625,2.607514781480462
3.7775,2.608188788449447
3.77875,2.607851784964955
3.78,2.609873805871911
3.78125,2.60852579193394
3.7825,2.60717777799597
3.78375,2.607514781480462
3.785,2.608862795418433
3.78625,2.609536802387418
3.7875,2.609199798902925
3.78875,2.609873805871911
3.79,2.607851784964955
3.79125,2.60717777799597
3.7925,2.607851784964955
3.79375,2.607514781480462
3.795,2.607851784964955
3.79625,2.60852579193394
3.7975,2.609536802387418
3.79875,2.60717777799597
3.8,2.607514781480462
3.80125,2.608188788449447
3.8025,2.609199798902925
3.80375,2.609199798902925
3.805,2.609873805871911
3.80625,2.608862795418433
3.8075,2.60717777799597
3.80875,2.607514781480462
3.81,2.607851784964955
3.81125,2.607851784964955
3.8125,2.60852579193394
3.81375,2.609873805871911
3.815,2.607851784964955
3.81625,2.60717777799597
3.8175,2.607851784964955
3.81875,2.609199798902925
3.82,2.609536802387418
3.82125,2.609199798902925
3.8225,2.609199798902925
3.82375,2.607851784964955
3.825,2.607514781480462
3.82625,2.607851784964955
3.8275,2.607851784964955
3.82875,2.608188788449447
3.83,2.609536802387418
3.83125,2.609873805871911
3.8325,2.607514781480462
3.83375,2.60717777799597
3.835,2.608862795418433
3.83625,2.609536802387418
3.8375,2.609536802387418
3.83875,2.610547812840896
3.84,2.608188788449447
3.84125,2.60717777799597
3.8425,2.607851784964955
3.84375,2.607851784964955
3.845,2.607851784964955
3.84625,2.609199798902925
3.8475,2.609536802387418
3.84875,2.607851784964955
3.85,2.630094014941473
3.85125,2.640878126445239
3.8525,2.641889136898717
3.85375,2.641552133414224
3.855,2.642900147352195
3.85625,2.641215129929731
3.8575,2.640204119476254
3.85875,2.639867115991761
3.86,2.640204119476254
3.86125,2.640204119476254
3.8625,2.640541122960746
3.86375,2.642226140383209
3.865,2.640204119476254
3.86625,2.639867115991761
3.8675,2.640204119476254
3.86875,2.641552133414224
3.87,2.641889136898717
3.87125,2.641889136898717
3.8725,2.641552133414224
3.87375,2.640204119476254
3.875,2.639867115991761
3.87625,2.639867115991761
3.8775,2.640541122960746
3.87875,2.640204119476254
3.88,2.642226140383209
3.88125,2.641552133414224
3.8825,2.640204119476254
3.88375,2.639867115991761
3.885,2.641215129929731
3.88625,2.641889136898717
3.8875,2.641552133414224
3.88875,2.642900147352195
3.89,2.640541122960746
3.89125,2.639867115991761
3.8925,2.639867115991761
3.89375,2.640541122960746
3.895,2.640541122960746
3.89625,2.641552133414224
3.8975,2.641215129929731
3.89875,2.640204119476254
